Temp (Ohm) (X58257),Temp (Ohm) (X53853),Temp (Ohm) (X53851),Temp (Ohm) (X53871)
103.601,66.263,68.561,70.113
103.601,66.608,68.919,70.483
104.389,66.608,69.28,70.483
105.176,66.949,69.28,70.862
105.176,66.949,69.64,71.239
105.977,67.293,69.988,71.239
105.977,67.646,70.005,71.618
106.795,67.646,70.369,71.931
107.612,67.995,70.369,72.005
107.612,67.995,70.74,72.391
108.44,68.351,71.11,72.391
108.44,68.704,71.11,72.774
109.279,68.704,71.485,73.172
110.124,69.06,71.485,73.172
110.124,69.386,71.863,73.562
110.993,69.431,72.242,73.562
110.993,69.794,72.242,73.966
111.879,69.794,72.627,74.367
112.764,70.164,72.627,74.367
112.764,70.538,73.018,74.778
113.659,70.538,73.41,74.778
114.563,70.917,73.41,75.189
114.583,70.917,73.81,75.609
115.516,71.3,74.187,75.609
115.516,71.689,74.218,76.035
116.483,71.689,74.621,76.36
117.461,72.088,74.621,76.469
117.461,72.088,75.04,76.901
118.455,72.488,75.46,76.901
118.455,72.895,75.46,77.351
119.481,72.895,75.891,77.803
120.53,73.311,75.891,77.803
120.53,73.69,76.335,78.262
121.604,73.741,76.783,78.262
121.604,74.173,76.783,78.739
122.723,74.173,77.239,79.22
123.859,74.619,77.239,79.22
123.859,75.072,77.712,79.71
125.034,75.072,78.194,79.71
126.247,75.538,78.194,80.222
126.247,75.538,78.683,80.743
127.494,76.018,79.141,80.743
127.494,76.51,79.198,81.283
128.807,76.51,79.712,81.696
130.158,77.023,79.712,81.838
130.158,77.023,80.256,82.397
131.562,77.549,80.802,82.397
131.562,78.085,80.802,82.988
133.033,78.085,81.379,83.594
134.548,78.644,81.379,83.594
134.548,79.113,81.972,84.217
136.125,79.221,82.582,84.217
136.125,79.818,82.582,84.869
137.813,79.818,83.224,85.545
139.53,80.447,83.224,85.545
139.53,81.089,83.88,86.242
141.351,81.089,84.567,86.242
143.254,81.766,84.567,86.975
143.274,81.766,85.282,87.741
145.299,82.471,86.006,87.741
145.299,83.212,86.037,88.533
147.439,83.212,86.815,89.198
149.708,83.984,86.815,89.374
149.708,83.984,87.644,90.245
152.121,84.802,88.506,90.245
152.121,85.645,88.506,91.163
154.674,85.645,89.414,92.136
157.397,86.554,89.414,92.136
157.397,87.396,90.377,93.165
160.302,87.509,91.39,93.165
160.302,88.513,91.39,94.255
163.444,88.513,92.471,95.407
166.759,89.58,92.471,95.407
166.759,90.713,93.62,96.636
170.335,90.713,94.826,96.636
