Time (s),Temp1 (Ohm),Temp2 (Ohm),Maybe Temp 3 (Ohm),Pressure (Torr),Temp (Ohm) (X58257)
217.65269999999998,3.33021,5.2964,3.84059,48.7061,72.07
219.08370000000002,3.33021,5.2967,3.84059,46.8475,72.07
220.4497,3.33021,5.2966,3.84059,45.0144,72.07
221.84570000000002,3.33021,5.2966,3.84059,43.5496,72.07
223.09269999999998,3.33021,5.2966,3.84059,41.9197,72.07
224.4137,3.33021,5.2966,3.84059,40.6772,72.07
225.62869999999998,3.33021,5.2966,3.83508,39.1816,72.07
227.0587,3.33021,5.2966,3.83736,37.875,72.07
228.35969999999998,3.33021,5.2966,3.83916,36.4292,72.07
229.8177,3.33021,5.2966,3.84013,35.3306,72.07
231.06869999999998,3.33021,5.2966,3.84059,34.1468,72.07
232.4977,3.33021,5.2966,3.84085,32.7654,72.07
233.90570000000002,3.33021,5.2966,3.84097,31.7726,72.07
235.32369999999997,3.33021,5.2966,3.84097,30.8426,72.07
236.58370000000002,3.33021,5.2966,3.84097,29.8711,72.07
237.84070000000003,3.33021,5.2966,3.84097,28.999,72.055
239.11169999999998,3.33021,5.2966,3.84097,28.0749,72.066
240.43169999999998,3.33021,5.2966,3.84097,27.1488,72.065
241.7867,3.33021,5.2966,3.84097,26.3159,72.066
243.0437,3.33021,5.2966,3.84097,25.4322,72.066
244.3587,3.33021,5.2966,3.84097,24.6917,72.066
245.69670000000002,3.32182,5.2966,3.84097,23.9048,72.066
246.97969999999998,3.32675,5.2966,3.84097,23.0808,72.066
248.37869999999998,3.32805,5.2966,3.84097,22.1965,72.066
249.73669999999998,3.3293,5.2966,3.84097,21.4051,72.066
251.13369999999998,3.32984,5.2966,3.84097,20.6912,72.066
252.4187,3.33008,5.2966,3.84097,20.0117,72.066
253.66770000000002,3.33027,5.2966,3.84097,19.1698,72.066
255.1177,3.33033,5.2966,3.84097,18.5516,72.066
256.3937,3.33033,5.2966,3.84097,17.7972,72.066
257.6627,3.33033,5.2931,3.84097,17.0184,72.066
259.0297,3.33033,5.298,3.84097,16.4607,72.066
260.2227,3.33033,5.2982,3.84097,15.7658,72.066
261.5327,3.33033,5.2982,3.84097,15.2143,72.066
262.7897,3.33033,5.2982,3.84097,14.609,72.066
264.0887,3.33033,5.2981,3.84097,14.0222,72.066
265.3927,3.33033,5.2981,3.84097,13.5368,72.066
266.6667,3.33033,5.2981,3.83561,12.9166,72.066
268.0547,3.33033,5.2981,3.83884,12.4113,72.066
269.3167,3.33033,5.2981,3.83987,11.9458,72.066
270.6197,3.33033,5.2981,3.84127,11.4065,72.066
272.0537,3.33033,5.2981,3.84189,10.9669,72.066
273.3147,3.33033,5.2981,3.8422,10.5314,72.066
274.5907,3.33033,5.2981,3.84249,10.1162,72.066
276.00370000000004,3.33033,5.2981,3.84259,9.73831,72.066
277.2267,3.33033,5.2981,3.84259,9.3107,72.066
278.5407,3.33033,5.2981,3.84259,8.94509,71.961
279.90770000000003,3.33033,5.2981,3.84259,8.55692,72.038
281.29470000000003,3.33033,5.2981,3.84259,8.18183,72.045
282.6797,3.33033,5.2981,3.84259,7.88347,72.047
284.0697,3.33033,5.2981,3.84259,7.54659,72.047
285.3607,3.33033,5.2981,3.84259,7.2558,72.047
286.71770000000004,3.33033,5.2981,3.84259,6.92444,72.047
288.0587,3.32668,5.2981,3.84259,6.68577,72.047
289.40770000000003,3.32848,5.2981,3.84259,6.4143,72.047
290.7557,3.32954,5.2981,3.84259,6.10965,72.047
292.2387,3.33053,5.2981,3.84259,5.83829,72.047
293.7017,3.33082,5.2981,3.84259,5.64353,72.047
294.96270000000004,3.33097,5.2981,3.84259,5.40901,72.047
296.1837,3.33108,5.2981,3.84259,5.21935,72.047
297.4927,3.33108,5.2981,3.84259,5.01551,72.047
298.77070000000003,3.33108,5.2981,3.84259,4.80084,72.047
300.09270000000004,3.33108,5.2992,3.84259,4.60414,72.047
301.4787,3.33108,5.2998,3.84259,4.45469,72.047
302.6997,3.33108,5.2998,3.84259,4.25744,72.047
304.0437,3.33108,5.2999,3.84259,4.10442,72.047
305.2767,3.33108,5.2999,3.84259,3.93959,72.047
306.4997,3.33108,5.2999,3.84259,3.7904,72.047
307.8847,3.33108,5.2999,3.83455,3.63176,72.047
309.2157,3.33108,5.2999,3.83963,3.47736,72.047
310.6247,3.33108,5.2999,3.84104,3.33262,72.047
311.9167,3.33108,5.2999,3.8425,3.21649,72.047
313.22470000000004,3.33108,5.2999,3.84324,3.07882,72.047
314.6247,3.33108,5.2999,3.8436,2.95428,72.047
315.94870000000003,3.33108,5.2999,3.84383,2.84196,72.047
317.1897,3.33108,5.2999,3.84396,2.73621,72.047
318.4977,3.33108,5.2999,3.84396,2.6205,72.047
319.78770000000003,3.33108,5.2999,3.84396,2.51218,72.047
321.16270000000003,3.33108,5.2999,3.84396,2.4087,72.013
322.5307,3.33108,5.2999,3.84396,2.32158,72.022
323.8557,3.33108,5.2999,3.84396,2.23007,72.023
325.1227,3.33108,5.2999,3.84396,2.13658,72.024
326.3467,3.33108,5.2999,3.84396,2.06324,72.023
327.5607,3.33108,5.2999,3.84396,1.971,72.023
328.91470000000004,3.32484,5.2999,3.84396,1.90993,72.023
330.1157,3.32861,5.2999,3.84396,1.8251,72.023
331.53270000000003,3.32982,5.2999,3.84396,1.76231,72.023
332.8177,3.33089,5.2999,3.84396,1.69597,72.023
334.1157,3.33139,5.2999,3.84396,1.62749,72.023
335.4977,3.33168,5.2999,3.84396,1.56441,72.023
336.8037,3.33187,5.2999,3.84396,1.50078,72.023
338.34970000000004,3.33196,5.2999,3.84396,1.44406,72.023
339.59270000000004,3.33196,5.2999,3.84396,1.39225,72.023
340.9307,3.33196,5.2923,3.84396,1.33994,72.023
342.2287,3.33196,5.3006,3.84396,1.28781,72.023
343.5337,3.33196,5.3012,3.84396,1.24141,72.023
344.8607,3.33196,5.301,3.84396,1.19651,72.023
346.1037,3.33196,5.3012,3.84396,1.15076,72.023
347.4597,3.33196,5.3012,3.84396,1.10641,72.023
348.7277,3.33196,5.3012,3.84396,1.06967,72.023
350.05670000000003,3.33196,5.3012,3.83921,1.02271,72.023
351.4037,3.33196,5.3012,3.84166,0.987151,72.023
352.7457,3.33196,5.3012,3.84262,0.946567,72.023
354.1837,3.33196,5.3012,3.84418,0.915838,72.023
355.4287,3.33196,5.3012,3.84461,0.874083,72.023
356.88870000000003,3.33196,5.3012,3.84488,0.844342,72.023
358.2387,3.33196,5.3012,3.84505,0.815112,72.023
359.4187,3.33196,5.3012,3.84507,0.789014,72.023
360.7267,3.33196,5.3012,3.84507,0.76094,72.023
361.95070000000004,3.33196,5.3012,3.84507,0.731002,71.951
363.2677,3.33196,5.3012,3.84507,0.70678,71.998
364.59770000000003,3.33196,5.3012,3.84507,0.682888,72.002
365.84270000000004,3.33196,5.3012,3.84507,0.655515,72.002
