Time (s),Temp (Ohm) (Barrel Type 1),Temp (Ohm) (Barrel Type 2),Pressure (Torr),Temp (Ohm) (X58257)
14215.5,4.44679,3.24709,0.213051,109.232
14216.9,4.44679,3.24709,0.212953,109.232
14218.1,4.44679,3.24709,0.212839,109.232
14219.3,4.44679,3.24709,0.212822,108.976
14220.7,4.44679,3.24709,0.212578,108.967
14222.1,4.44679,3.24709,0.212985,108.964
14223.5,4.44679,3.24709,0.212838,108.964
14224.8,4.44679,3.24709,0.213084,108.955
14226.1,4.44679,3.24709,0.213247,108.955
14227.4,4.4438,3.24709,0.213133,108.955
14228.8,4.44713,3.24709,0.213166,108.955
14230.2,4.44783,3.24709,0.21305,108.955
14231.4,4.44812,3.24709,0.213264,108.955
14232.8,4.44834,3.24709,0.213232,108.955
14234.1,4.44834,3.24709,0.213199,108.955
14235.4,4.44834,3.24709,0.213855,108.955
14236.6,4.44834,3.24615,0.213592,108.955
14237.9,4.44834,3.24718,0.212986,108.955
14239.4,4.44834,3.24776,0.213411,108.955
14240.7,4.44834,3.24817,0.212921,108.955
14242.0,4.44834,3.24824,0.213525,108.955
14243.3,4.44834,3.24829,0.212871,108.955
14244.7,4.44834,3.24832,0.213215,108.955
14245.9,4.44834,3.24832,0.213493,108.955
14247.3,4.44834,3.24832,0.213018,108.955
14248.7,4.44834,3.24832,0.212953,108.704
14250.1,4.44834,3.24832,0.213313,108.72
14251.3,4.44834,3.24832,0.213313,108.709
14252.6,4.44834,3.24832,0.21351,108.711
14253.8,4.44834,3.24832,0.213132,108.711
14255.1,4.44834,3.24832,0.213034,108.711
14256.4,4.44834,3.24832,0.213182,108.711
14257.8,4.44821,3.24832,0.212724,108.711
14259.1,4.449,3.24832,0.213706,108.711
14260.5,4.44957,3.24832,0.213281,108.711
14261.9,4.44984,3.24832,0.213215,108.711
14263.2,4.44984,3.24832,0.213919,108.711
14264.5,4.44984,3.24832,0.213182,108.711
14265.8,4.44984,3.24671,0.213444,108.711
14267.1,4.44984,3.2481,0.213592,108.711
14268.5,4.44984,3.24851,0.213313,108.711
14269.7,4.44984,3.24911,0.213559,108.711
14271.0,4.44984,3.24923,0.213313,108.711
14272.5,4.44984,3.24932,0.213165,108.711
14273.9,4.44984,3.24939,0.213346,108.711
14275.2,4.44984,3.2494,0.213673,108.711
14276.5,4.44984,3.2494,0.214166,108.711
14277.9,4.44984,3.2494,0.214199,108.438
14279.2,4.44984,3.2494,0.213576,108.468
14280.5,4.44984,3.2494,0.214018,108.463
14281.9,4.44984,3.2494,0.213903,108.46
14283.2,4.44984,3.2494,0.213542,108.453
14284.4,4.44984,3.2494,0.213739,108.453
14285.7,4.44984,3.2494,0.213772,108.453
14287.0,4.44885,3.2494,0.21351,108.453
14288.3,4.45037,3.2494,0.213821,108.453
14289.6,4.45086,3.2494,0.213313,108.453
14290.9,4.45101,3.2494,0.213903,108.453
14292.3,4.45116,3.2494,0.213476,108.453
14293.6,4.45116,3.2494,0.214199,108.453
14294.9,4.45116,3.24539,0.213986,108.453
14296.1,4.45116,3.24876,0.213985,108.453
14297.5,4.45116,3.24942,0.214084,108.453
14298.8,4.45116,3.25013,0.213624,108.453
14300.1,4.45116,3.25036,0.214034,108.453
14301.5,4.45116,3.25039,0.213789,108.453
14302.7,4.45116,3.25045,0.214528,108.453
14304.0,4.45116,3.25051,0.213903,108.453
14305.4,4.45116,3.25051,0.214545,108.453
14306.7,4.45116,3.25051,0.213281,108.453
14308.0,4.45116,3.25051,0.214248,108.238
14309.4,4.45116,3.25051,0.213788,108.228
14310.8,4.45116,3.25051,0.213854,108.2
14312.1,4.45116,3.25051,0.213969,108.216
14313.5,4.45116,3.25051,0.2142,108.216
14314.9,4.45116,3.25051,0.214199,108.216
14316.3,4.45021,3.25051,0.214084,108.216
14317.6,4.45205,3.25051,0.213854,108.216
14319.1,4.45242,3.25051,0.214051,108.216
14320.5,4.4527,3.25051,0.214018,108.216
14321.8,4.45281,3.25051,0.21392,108.216
14323.1,4.45281,3.25051,0.213986,108.216
14324.4,4.45281,3.24837,0.214199,108.216
14325.8,4.45281,3.25006,0.214084,108.216
14327.2,4.45281,3.25063,0.213624,108.216
14328.5,4.45281,3.25137,0.213887,108.216
14329.9,4.45281,3.25159,0.214446,108.216
14331.2,4.45281,3.25169,0.214842,108.216
14332.5,4.45281,3.25177,0.213953,108.216
14333.7,4.45281,3.25179,0.214166,108.216
14334.9,4.45281,3.25179,0.214331,108.216
14336.2,4.45281,3.25179,0.214067,107.882
14337.5,4.45281,3.25179,0.214446,107.971
14338.8,4.45281,3.25179,0.214347,107.973
14340.1,4.45281,3.25179,0.214265,107.973
14341.4,4.45281,3.25179,0.214643,107.962
14342.7,4.45281,3.25179,0.214413,107.955
14343.9,4.45281,3.25179,0.214792,107.955
14345.2,4.44991,3.25179,0.215189,107.955
14346.6,4.45303,3.25179,0.214644,107.955
14347.9,4.45388,3.25179,0.214809,107.955
14349.4,4.45429,3.25179,0.214775,107.955
14350.8,4.45445,3.25179,0.21438,107.955
14352.1,4.45445,3.25179,0.21471,107.955
14353.4,4.45445,3.25179,0.214545,107.955
14354.6,4.45445,3.25152,0.214281,107.955
14356.1,4.45445,3.25205,0.2142,107.955
14357.6,4.45445,3.2525,0.214925,107.955
14358.8,4.45445,3.25272,0.214133,107.955
14360.2,4.45445,3.25289,0.214643,107.955
14361.5,4.45445,3.25292,0.214907,107.955
14362.9,4.45445,3.25297,0.214808,107.955
14364.2,4.45445,3.25297,0.214973,107.955
14365.5,4.45445,3.25297,0.214643,107.955
14366.8,4.45445,3.25297,0.21537,107.729
14368.0,4.45445,3.25297,0.214478,107.729
14369.5,4.45445,3.25297,0.214941,107.691
