Time (s),Temp (Ohm) (X58257),Temp (Ohm) (X53853),Temp (Ohm) (X53851),Temp (Ohm) (X53871)
4461.69,2073.52,342.773,364.892,387.883
4471.69,2075.57,342.924,365.023,387.883
4481.69,2075.57,343.042,365.023,387.993
4491.69,2077.54,343.042,365.119,388.144
4501.69,2079.3,343.161,365.119,388.144
4511.69,2079.3,343.042,365.227,388.211
4521.69,2081.46,343.265,365.337,388.211
4531.69,2077.69,343.355,365.337,388.309
4541.69,2082.84,343.355,365.48,388.414
4551.69,2083.56,343.415,365.48,388.414
4561.69,2083.56,343.494,365.598,388.553
4571.69,2085.03,343.494,365.686,388.553
4581.69,2085.84,343.586,365.686,388.672
4591.69,2085.84,343.586,365.819,388.797
4601.69,2086.46,343.662,365.678,388.797
4611.69,2086.46,343.785,365.891,388.946
4621.69,2087.87,343.785,365.941,388.714
4631.69,2089.34,343.888,365.941,389.04
4641.69,2089.34,343.888,365.998,389.105
4651.69,2090.85,343.973,366.066,389.105
4661.69,2090.85,344.049,366.066,389.157
4671.69,2092.06,344.049,366.13,389.232
4681.69,2093.24,344.109,366.13,389.232
4691.69,2093.24,343.928,366.222,389.279
4701.69,2094.3,344.154,366.298,389.279
4711.69,2091.43,344.188,366.298,389.37
4721.69,2094.82,344.188,366.416,389.449
4731.69,2095.31,344.237,366.416,389.449
4741.69,2095.31,344.303,366.506,389.547
4751.69,2095.91,344.303,366.587,389.547
4761.69,2097.03,344.379,366.587,389.662
4771.69,2097.03,344.379,366.651,389.772
4781.69,2097.75,344.453,366.665,389.772
4791.69,2097.75,344.541,366.732,389.861
4801.69,2099.0,344.541,366.778,389.64
4811.69,2100.44,344.667,366.778,389.964
4821.69,2100.44,344.667,366.811,390.024
4831.69,2101.64,344.738,366.881,390.024
4841.69,2101.64,344.806,366.881,390.052
4851.69,2103.0,344.806,366.935,390.112
4861.69,2103.76,344.832,366.935,390.112
4871.69,2103.76,344.727,366.995,390.166
4881.69,2104.34,344.879,367.04,390.166
4891.69,2102.52,344.884,367.04,390.214
4901.69,2104.29,344.884,367.163,390.279
4911.69,2104.82,344.918,367.163,390.279
4921.69,2104.82,344.964,367.215,390.362
4931.69,2104.94,344.964,367.242,390.362
4941.69,2105.44,345.006,367.242,390.448
