Time (s),Temp (Ohm) (X????1),Temp (Ohm) (X58257),Temp (Ohm) (X????2),Pressure (Torr),col11
2721.66,68.704,109.279,71.485,0.000104108,73.172
2731.66,69.06,110.124,71.485,0.00010394,73.172
2741.66,69.386,110.124,71.863,0.000104036,73.562
2751.66,69.431,110.993,72.242,0.00010418,73.562
2761.66,69.794,110.993,72.242,0.000104116,73.966
2771.66,69.794,111.879,72.627,0.00010398,74.367
2781.66,70.164,112.764,72.627,0.000103988,74.367
2791.66,70.538,112.764,73.018,0.000103948,74.778
2801.66,70.538,113.659,73.41,0.000104052,74.778
2811.66,70.917,114.563,73.41,0.00010414,75.189
2821.66,70.917,114.583,73.81,0.000104068,75.609
2831.66,71.3,115.516,74.187,0.000104124,75.609
2841.66,71.689,115.516,74.218,0.00010394,76.035
2851.66,71.689,116.483,74.621,0.000104044,76.36
2861.66,72.088,117.461,74.621,0.000104004,76.469
2871.66,72.088,117.461,75.04,0.000104052,76.901
2881.66,72.488,118.455,75.46,0.000104036,76.901
2891.66,72.895,118.455,75.46,0.000103924,77.351
2901.66,72.895,119.481,75.891,0.000104012,77.803
2911.66,73.311,120.53,75.891,0.000103885,77.803
2921.66,73.69,120.53,76.335,0.000103956,78.262
2931.66,73.741,121.604,76.783,0.000104012,78.262
2941.66,74.173,121.604,76.783,0.000103948,78.739
2951.66,74.173,122.723,77.239,0.000104068,79.22
2961.66,74.619,123.859,77.239,0.000103972,79.22
2971.66,75.072,123.859,77.712,0.000104044,79.71
2981.66,75.072,125.034,78.194,0.000104004,79.71
2991.67,75.538,126.247,78.194,0.000104116,80.222
3001.67,75.538,126.247,78.683,0.000103877,80.743
3011.67,76.018,127.494,79.141,0.000104116,80.743
3021.67,76.51,127.494,79.198,0.000103845,81.283
3031.67,76.51,128.807,79.712,0.000104116,81.696
3041.67,77.023,130.158,79.712,0.00010402,81.838
3051.67,77.023,130.158,80.256,0.000103908,82.397
3061.67,77.549,131.562,80.802,0.000103948,82.397
3071.67,78.085,131.562,80.802,0.000103805,82.988
3081.67,78.085,133.033,81.379,0.000104164,83.594
3091.67,78.644,134.548,81.379,0.000103996,83.594
3101.67,79.113,134.548,81.972,0.00010406,84.217
3111.67,79.221,136.125,82.582,0.000104044,84.217
3121.67,79.818,136.125,82.582,0.000104036,84.869
3131.67,79.818,137.813,83.224,0.00010398,85.545
3141.67,80.447,139.53,83.224,0.000103821,85.545
3151.67,81.089,139.53,83.88,0.000104044,86.242
3161.67,81.089,141.351,84.567,0.000104068,86.242
3171.67,81.766,143.254,84.567,0.000103948,86.975
3181.67,81.766,143.274,85.282,0.000104132,87.741
3191.67,82.471,145.299,86.006,0.000104076,87.741
3201.67,83.212,145.299,86.037,0.00010406,88.533
3211.67,83.212,147.439,86.815,0.000103869,89.198
3221.67,83.984,149.708,86.815,0.000103885,89.374
3231.67,83.984,149.708,87.644,0.00010406,90.245
3241.67,84.802,152.121,88.506,0.000103924,90.245
3251.67,85.645,152.121,88.506,0.000103861,91.163
3261.67,85.645,154.674,89.414,0.000104148,92.136
3271.67,86.554,157.397,89.414,0.000104116,92.136
3281.67,87.396,157.397,90.377,0.000104084,93.165
3291.67,87.509,160.302,91.39,0.000104012,93.165
3301.67,88.513,160.302,91.39,0.000104012,94.255
3311.67,88.513,163.444,92.471,0.000104092,95.407
3321.68,89.58,166.759,92.471,0.000103908,95.407
3331.68,90.713,166.759,93.62,0.000103924,96.636
3341.68,90.713,170.335,94.826,0.000104092,96.636
3351.68,91.911,174.078,94.826,0.000103773,97.933
3361.68,91.911,174.178,96.121,0.000104004,99.314
3371.68,93.206,178.312,97.387,0.000103964,99.314
3381.68,94.561,178.312,97.503,0.000103924,100.796
3391.68,94.561,182.781,98.963,0.0001041,102.085
3401.68,96.027,187.606,98.963,0.000103924,102.375
3411.68,96.027,187.606,100.536,0.000103972,104.053
3421.68,97.59,192.814,102.215,0.000103988,104.053
3431.68,99.254,192.814,102.215,0.000104092,105.86
3441.68,99.254,198.503,104.024,0.000103948,107.781
3451.68,101.063,203.799,104.024,0.000103988,107.807
3461.68,101.063,206.222,106.324,0.000104124,110.302
3471.68,103.375,213.051,106.324,0.0001041,110.302
3481.68,105.462,213.051,108.451,0.000104076,112.597
3491.68,105.483,220.615,110.765,0.000103964,112.597
3501.68,107.8,228.788,110.765,0.000103908,115.093
3511.68,107.8,228.998,113.294,0.00010402,117.819
3521.68,110.313,238.289,115.763,0.000103932,117.819
3531.68,113.073,238.289,116.061,0.000104156,120.803
3541.68,113.073,248.787,119.117,0.0001039,120.803
3551.68,116.147,260.599,119.117,0.000104012,124.14
3561.68,116.147,260.599,122.508,0.000103964,127.821
3571.68,119.573,274.183,126.343,0.000103964,127.821
3581.68,123.469,274.183,126.343,0.000103972,132.03
3591.68,123.469,290.109,130.76,0.000103956,136.715
3601.68,127.961,309.073,130.76,0.00010402,136.878
3611.68,127.961,309.073,135.911,0.000103988,142.517
3621.68,133.295,332.257,142.11,0.000104036,142.517
3631.68,139.679,332.257,142.11,0.000104292,149.406
3641.68,139.679,361.413,149.754,0.000103972,157.989
3651.68,147.793,400.043,149.754,0.000103956,157.989
3661.68,158.259,400.043,159.725,0.000104004,169.312
3671.68,158.578,454.975,173.394,0.000103908,169.312
3681.68,173.702,535.29,173.394,0.000104084,185.127
3691.68,173.702,539.383,193.316,0.000103845,206.141
3701.68,201.015,701.33,193.316,0.000104172,213.987
3711.68,201.015,753.59,242.105,0.000104132,213.987
3721.68,241.943,753.59,242.318,0.000104044,262.984
3731.68,250.38,1085.12,280.739,0.000104036,262.984
3741.68,275.543,1085.12,280.739,0.000103996,301.609
3751.68,275.543,1308.07,303.739,0.000104164,324.635
3761.68,293.824,1489.23,303.739,0.000103996,324.635
3771.68,305.47,1489.23,320.322,0.000103932,340.883
3781.68,306.13,1617.7,331.355,0.0001041,340.883
3791.68,314.27,1704.8,331.355,0.000104052,351.884
3801.68,314.27,1705.44,338.709,0.000104076,359.493
3811.68,319.948,1770.93,338.709,0.000103725,359.493
3821.68,323.967,1770.93,343.612,0.000104196,364.661
3831.68,323.967,1820.64,347.064,0.000104068,364.661
3841.68,327.235,1859.1,347.064,0.000104092,368.502
3851.68,327.235,1859.1,349.788,0.000104148,371.391
3861.68,329.637,1891.58,352.035,0.000104084,371.391
3871.68,331.457,1891.58,351.915,0.000103877,373.486
3881.68,331.457,1917.49,353.671,0.000103988,374.804
3891.68,332.736,1935.63,353.671,0.00010398,375.28
3901.68,332.736,1935.63,355.194,0.000104068,376.792
3911.68,333.892,1950.2,356.3,0.000104044,376.792
3921.68,334.827,1950.2,356.3,0.000104028,378.113
3931.68,334.827,1960.92,357.262,0.000103988,379.102
3941.68,335.617,1971.12,357.262,0.000104044,379.102
3951.68,336.088,1971.12,357.988,0.000103924,379.942
3961.68,336.312,1979.98,358.565,0.000103885,379.942
3971.68,336.907,1979.98,358.565,0.000103741,380.715
3981.68,336.907,1990.0,359.012,0.000103908,381.259
3991.68,337.525,1997.43,359.012,0.000104028,381.259
4001.68,337.928,1997.43,359.481,0.000103948,381.697
4011.68,337.928,2003.43,359.888,0.000103853,381.697
4021.68,338.248,2008.41,359.888,0.000104068,382.097
4031.68,338.248,2008.58,360.299,0.000104164,382.485
4041.69,338.517,2012.83,360.56,0.000104044,382.485
4051.69,338.74,2012.83,360.697,0.000104172,382.84
4061.69,338.74,2014.98,360.983,0.000104092,382.84
4071.69,338.941,2017.57,360.983,0.000104036,383.224
4081.69,338.941,2017.57,361.205,0.000103988,383.476
4091.69,339.204,2019.89,361.393,0.000104004,383.476
4101.69,339.375,2019.89,361.393,0.000103869,383.767
4111.69,339.375,2022.78,361.552,0.000103797,383.983
4121.69,339.619,2025.36,361.552,0.000103813,383.983
4131.69,339.465,2025.36,361.638,0.000104116,384.076
4141.69,339.801,2029.36,361.753,0.000103988,384.076
4151.69,339.899,2029.36,361.753,0.000104028,384.145
4161.69,339.899,2029.58,361.929,0.000103885,384.145
4171.69,339.897,2030.85,361.929,0.000104036,384.36
4181.69,339.897,2032.47,362.022,0.00010398,384.559
4191.69,340.088,2034.5,362.022,0.000104028,384.559
4201.69,340.294,2034.5,362.138,0.000104084,384.742
4211.69,340.294,2037.35,362.28,0.000104076,384.742
4221.69,340.511,2041.09,362.28,0.00010394,384.923
4231.69,340.511,2041.09,362.426,0.000103893,385.095
4241.69,340.702,2044.63,362.633,0.000103677,385.095
4251.69,340.87,2044.63,362.669,0.000104028,385.278
4261.69,340.87,2047.36,362.964,0.00010406,385.354
4271.69,341.021,2049.64,362.964,0.000103908,385.57
4281.69,341.021,2049.64,363.222,0.000103972,385.857
4291.69,341.221,2051.7,363.425,0.000103853,385.857
4301.69,341.417,2051.7,363.425,0.000104028,386.141
4311.69,341.417,2054.33,363.601,0.000104004,386.387
4321.69,341.63,2057.11,363.601,0.000104252,386.387
4331.69,341.733,2057.11,363.769,0.000104052,386.608
4341.69,341.879,2060.51,363.887,0.000103924,386.608
4351.69,342.043,2059.25,363.887,0.000104092,386.751
4361.69,342.043,2063.75,364.05,0.000103916,386.874
4371.69,342.168,2065.92,364.05,0.000104124,386.874
4381.69,342.297,2065.92,364.238,0.000103805,387.03
4391.69,342.297,2067.5,364.385,0.000103948,387.03
4401.69,342.374,2069.08,364.385,0.000103765,387.204
4411.69,342.374,2069.08,364.544,0.000103821,387.358
4421.69,342.525,2070.08,364.504,0.0001041,387.358
4431.69,342.625,2070.08,364.72,0.000103829,387.584
4441.69,342.625,2071.71,364.814,0.000103932,387.262
4451.69,342.773,2073.52,364.814,0.000103932,387.763
4461.69,342.773,2073.52,364.892,0.00010394,387.883
4471.69,342.924,2075.57,365.023,0.000104156,387.883
4481.69,343.042,2075.57,365.023,0.000103956,387.993
4491.69,343.042,2077.54,365.119,0.000103837,388.144
4501.69,343.161,2079.3,365.119,0.000103964,388.144
4511.69,343.042,2079.3,365.227,0.000104004,388.211
4521.69,343.265,2081.46,365.337,0.000104172,388.211
4531.69,343.355,2077.69,365.337,0.000104196,388.309
4541.69,343.355,2082.84,365.48,0.000104012,388.414
4551.69,343.415,2083.56,365.48,0.000103948,388.414
4561.69,343.494,2083.56,365.598,0.000103916,388.553
4571.69,343.494,2085.03,365.686,0.000104068,388.553
4581.69,343.586,2085.84,365.686,0.000103701,388.672
4591.69,343.586,2085.84,365.819,0.000103893,388.797
4601.69,343.662,2086.46,365.678,0.000104044,388.797
4611.69,343.785,2086.46,365.891,0.000104012,388.946
4621.69,343.785,2087.87,365.941,0.000104084,388.714
4631.69,343.888,2089.34,365.941,0.000104068,389.04
4641.69,343.888,2089.34,365.998,0.0001041,389.105
4651.69,343.973,2090.85,366.066,0.00010394,389.105
4661.69,344.049,2090.85,366.066,0.00010418,389.157
4671.69,344.049,2092.06,366.13,0.000104348,389.232
4681.69,344.109,2093.24,366.13,0.000104132,389.232
